"locus_tag"	"symbol"	"gene_name"	"old_locus_tag"	"product"	"eggNOG_name"	"eggNOG_description"	"GO_component"	"GO_function"	"GO_process"	"eggNOG_GOs"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"eggNOG_evalue"
"SPY_RS04940"	"citG"	"citG"	"SPy_1178"	"triphosphoribosyl-dephospho-CoA synthase CitG"	"citG"	"2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase"	"-"	"GO:0046917 - triphosphoribosyl-dephospho-CoA synthase activity [Evidence IEA]"	"GO:0019361 - 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA biosynthetic process [Evidence IEA]"	"-"	"ko:K05966"	"ko02020,map02020"	"-"	"R09675"	"RC00049,RC00063"	"3.19e-187"
"SPY_RS04945"	"citR"	"-"	"SPy_1179"	"GntR family transcriptional regulator"	"citR"	"FCD"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"3.22e-151"
"SPY_RS04950"	"citM"	"-"	"SPy_1180"	"CitMHS family transporter"	"citM"	"Citrate transporter"	"-"	"-"	"-"	"-"	"ko:K03300"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS04955"	"SPy_1181"	"-"	"SPy_1181"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"8.49e-13"
"SPY_RS04960"	"oadG"	"-"	"SPy_1183"	"acetyl-CoA carboxylase biotin carboxyl carrier protein subunit"	"oadG"	"biotin carboxyl carrier protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.72e-55"
"SPY_RS04965"	"oadB"	"-"	"SPy_1184"	"sodium ion-translocating decarboxylase subunit beta"	"oadB"	"decarboxylase, beta subunit"	"-"	"-"	"-"	"-"	"ko:K01572"	"ko00620,ko01100,map00620,map01100"	"-"	"R00217"	"RC00040"	"2.2500000000000002e-245"
"SPY_RS09475"	"SPY_RS09475"	"-"	"-"	"OadG-related small transporter subunit"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"7.7e-19"
"SPY_RS04970"	"citD"	"citD"	"SPy_1186"	"citrate lyase acyl carrier protein"	"citD"	"Covalent carrier of the coenzyme of citrate lyase"	"GO:0009346 - ATP-independent citrate lyase complex [Evidence IEA]"	"GO:0008815 - citrate (pro-3S)-lyase activity [Evidence IEA]"	"GO:0006113 - fermentation [Evidence IEA]"	"-"	"ko:K01646"	"ko02020,map02020"	"-"	"R00362"	"RC00067,RC01118"	"3.67e-65"
"SPY_RS04975"	"citE"	"citE"	"SPy_1188"	"citrate (pro-3S)-lyase subunit beta"	"citE"	"Citrate lyase beta subunit"	"GO:0009346 - ATP-independent citrate lyase complex [Evidence IEA]"	"GO:0008815 - citrate (pro-3S)-lyase activity [Evidence IEA]"	"GO:0006113 - fermentation [Evidence IEA]"	"-"	"ko:K01644"	"ko02020,map02020"	"-"	"R00362"	"RC00067,RC01118"	"2.5800000000000002e-198"
"SPY_RS04980"	"citF"	"citF"	"SPy_1189"	"citrate lyase subunit alpha"	"citF"	"Citrate lyase, alpha subunit"	"GO:0009346 - ATP-independent citrate lyase complex [Evidence IEA]"	"GO:0008814 - citrate CoA-transferase activity [Evidence IEA] | GO:0008815 - citrate (pro-3S)-lyase activity [Evidence IEA]"	"GO:0006113 - fermentation [Evidence IEA]"	"-"	"ko:K01643"	"ko02020,map02020"	"-"	"R00362"	"RC00067,RC01118"	"0.0"
"SPY_RS04985"	"citX"	"citX"	"SPy_1190"	"citrate lyase holo-[acyl-carrier protein] synthase"	"citX"	"apo-citrate lyase"	"-"	"GO:0050519 - holo-citrate lyase synthase activity [Evidence IEA]"	"GO:0051191 - prosthetic group biosynthetic process [Evidence IEA]"	"-"	"ko:K05964"	"ko02020,map02020"	"-"	"R10706"	"-"	"2.53e-111"
"SPY_RS04990"	"oadA"	"-"	"SPy_1191"	"oxaloacetate decarboxylase subunit alpha"	"oadA"	"HMGL-like"	"-"	"GO:0003824 - catalytic activity [Evidence IEA]"	"-"	"-"	"ko:K01571"	"ko00620,ko01100,map00620,map01100"	"-"	"R00217"	"RC00040"	"0.0"
"SPY_RS04995"	"citC"	"citC"	"SPy_1192"	"[citrate (pro-3S)-lyase] ligase"	"citC"	"Acetylation of prosthetic group (2-(5''-phosphoribosyl)- 3'-dephosphocoenzyme-A) of the gamma subunit of citrate lyase"	"-"	"GO:0008771 - [citrate (pro-3S)-lyase] ligase activity [Evidence IEA]"	"GO:0006101 - citrate metabolic process [Evidence IEA]"	"-"	"ko:K01910"	"ko02020,map02020"	"-"	"R04449"	"RC00012,RC00039"	"5.5800000000000004e-248"
"SPY_RS05000"	"SPy_1193"	"-"	"SPy_1193"	"PASTA domain-containing protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.3799999999999999e-108"
"SPY_RS05005"	"xerS"	"xerS"	"SPy_1196"	"tyrosine recombinase XerS"	"xerS"	"Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. Essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division"	"-"	"GO:0003677 - DNA binding [Evidence IEA]"	"GO:0006310 - DNA recombination [Evidence IEA] | GO:0015074 - DNA integration [Evidence IEA]"	"-"	"ko:K04763"	"-"	"-"	"-"	"-"	"6.27e-248"
"SPY_RS05010"	"SPy_1198"	"-"	"SPy_1198"	"S24 family peptidase"	"-"	"Peptidase S24-like"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"5.06e-169"
"SPY_RS05015"	"ffh"	"ffh"	"SPy_1200"	"signal recognition particle protein"	"ffh"	"Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY"	"GO:0048501 - signal recognition particle, plasma membrane targeting [Evidence IEA]"	"GO:0003924 - GTPase activity [Evidence IEA] | GO:0005048 - signal sequence binding [Evidence IEA]"	"GO:0009306 - protein secretion [Evidence IEA]"	"-"	"ko:K03106"	"ko02024,ko03060,ko03070,map02024,map03060,map03070"	"M00335"	"-"	"-"	"0.0"
"SPY_RS05020"	"ylxM"	"-"	"SPy_1201"	"putative DNA-binding protein"	"ylxM"	"Might take part in the signal recognition particle (SRP) pathway. This is inferred from the conservation of its genetic proximity to ftsY ffh. May be a regulatory protein"	"-"	"-"	"-"	"GO:0003674,GO:0008150,GO:0030234,GO:0030695,GO:0050790,GO:0060589,GO:0065007,GO:0065009,GO:0098772"	"ko:K09787"	"-"	"-"	"-"	"-"	"1.7100000000000002e-72"
"SPY_RS05025"	"yvoA_2"	"-"	"SPy_1202"	"GntR family transcriptional regulator"	"yvoA_2"	"transcriptional"	"-"	"-"	"-"	"-"	"ko:K03710"	"-"	"-"	"-"	"-"	"1.0099999999999999e-159"
"SPY_RS05030"	"SPy_1203"	"-"	"SPy_1203"	"hypothetical protein"	"-"	"Flagellar rod assembly protein muramidase FlgJ"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS05035"	"guaA"	"guaA"	"SPy_1204"	"glutamine-hydrolyzing GMP synthase"	"guaA"	"Catalyzes the synthesis of GMP from XMP"	"-"	"GO:0003922 - GMP synthase (glutamine-hydrolyzing) activity [Evidence IEA] | GO:0005524 - ATP binding [Evidence IEA] | GO:0016462 - pyrophosphatase activity [Evidence IEA]"	"GO:0006177 - GMP biosynthetic process [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0003921,GO:0003922,GO:0006139,GO:0006163,GO:0006164,GO:0006177,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009163,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016874,GO:0016879,GO:0016884,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034404,GO:0034641,GO:0034654,GO:0042278,GO:0042451,GO:0042455,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046037,GO:0046128,GO:0046129,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901068,GO:1901070,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659"	"ko:K01951"	"ko00230,ko00983,ko01100,map00230,map00983,map01100"	"M00050"	"R01230,R01231,R08244"	"RC00010,RC00204"	"0.0"
"SPY_RS05040"	"murM"	"-"	"SPy_1205"	"lipid II:glycine glycyltransferase FemX"	"murM"	"protein involved in methicillin resistance"	"-"	"-"	"-"	"-"	"ko:K05363"	"ko00550,ko01100,map00550,map01100"	"-"	"R08779"	"RC00055,RC00096"	"1.48e-290"
"SPY_RS05045"	"yheS_1"	"-"	"SPy_1206"	"ABC-F family ATP-binding cassette domain-containing protein"	"yheS_1"	"abc transporter atp-binding protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS05050"	"SPy_1208"	"-"	"SPy_1208"	"ECF transporter S component"	"-"	"ECF-type riboflavin transporter, S component"	"GO:0016020 - membrane [Evidence IEA]"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.3100000000000002e-116"
"SPY_RS05055"	"pdxK"	"-"	"SPy_1209"	"pyridoxamine kinase"	"pdxK"	"Belongs to the pyridoxine kinase family"	"-"	"GO:0008478 - pyridoxal kinase activity [Evidence IEA]"	"GO:0009443 - pyridoxal 5'-phosphate salvage [Evidence IEA]"	"-"	"ko:K00868"	"ko00750,ko01100,map00750,map01100"	"-"	"R00174,R01909,R02493"	"RC00002,RC00017"	"5.48e-201"
"SPY_RS05060"	"ycxD"	"-"	"SPy_1210"	"PLP-dependent aminotransferase family protein"	"ycxD"	"Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"5.09e-301"
"SPY_RS05065"	"nrdD_1"	"-"	"SPy_1211"	"ATP cone domain-containing protein"	"nrdD_1"	"ribonucleoside-diphosphate reductase activity"	"-"	"-"	"-"	"-"	"ko:K00525,ko:K21636"	"ko00230,ko00240,ko01100,map00230,map00240,map01100"	"M00053"	"R02017,R02018,R02019,R02024,R11633,R11634,R11635,R11636"	"RC00613"	"3.36e-76"
"SPY_RS05070"	"cls"	"cls"	"SPy_1212"	"cardiolipin synthase"	"cls"	"Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol"	"-"	"GO:0008808 - cardiolipin synthase activity [Evidence IEA]"	"GO:0032049 - cardiolipin biosynthetic process [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0006629,GO:0006644,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0008808,GO:0009058,GO:0009987,GO:0016740,GO:0016772,GO:0016780,GO:0019637,GO:0030572,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0071704,GO:0090407,GO:1901576"	"ko:K06131"	"ko00564,ko01100,map00564,map01100"	"-"	"R07390"	"RC00017"	"0.0"
"SPY_RS05075"	"fhs"	"-"	"SPy_1213"	"formate--tetrahydrofolate ligase"	"fhs"	"Belongs to the formate--tetrahydrofolate ligase family"	"-"	"GO:0004329 - formate-tetrahydrofolate ligase activity [Evidence IEA] | GO:0005524 - ATP binding [Evidence IEA]"	"-"	"-"	"ko:K01938"	"ko00670,ko00720,ko01100,ko01120,ko01200,map00670,map00720,map01100,map01120,map01200"	"M00140,M00377"	"R00943"	"RC00026,RC00111"	"0.0"
"SPY_RS05080"	"lplA"	"-"	"SPy_1214"	"lipoate--protein ligase"	"lplA"	"Lipoate-protein ligase"	"-"	"-"	"-"	"-"	"ko:K03800"	"ko00785,ko01100,map00785,map01100"	"-"	"R07770,R07771,R11143"	"RC00043,RC00070,RC00090,RC00992,RC02896"	"1.1700000000000002e-248"
"SPY_RS05085"	"SPy_1215"	"-"	"SPy_1215"	"NAD-dependent deacetylase"	"-"	"COG COG0846 NAD-dependent protein deacetylases, SIR2 family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"6.25e-214"
"SPY_RS05090"	"SPy_1216"	"-"	"SPy_1216"	"protein-ADP-ribose hydrolase"	"-"	"Macro domain protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.99e-194"
"SPY_RS05095"	"SPy_1217"	"-"	"SPy_1217"	"glycine cleavage system protein H"	"-"	"glycine cleavage"	"-"	"-"	"-"	"-"	"ko:K02437"	"ko00260,ko00630,ko01100,ko01110,ko01130,ko01200,map00260,map00630,map01100,map01110,map01130,map01200"	"M00532"	"R01221"	"RC00022,RC02834"	"8.66e-70"
"SPY_RS05100"	"SPy_1218"	"-"	"SPy_1218"	"LLM class flavin-dependent oxidoreductase"	"-"	"COG2141 Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.16e-240"
"SPY_RS05105"	"SPy_1219"	"-"	"SPy_1219"	"NADH-dependent flavin oxidoreductase"	"-"	"NADH flavin oxidoreductases, Old Yellow Enzyme family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"5.35e-289"
"SPY_RS05110"	"lipL"	"-"	"SPy_1220"	"biotin/lipoate A/B protein ligase family protein"	"lipL"	"Catalyzes the amidotransfer (transamidation) of the octanoyl moiety from octanoyl-GcvH to the lipoyl domain of the E2 subunit of lipoate-dependent enzymes"	"-"	"-"	"-"	"GO:0003674,GO:0003824,GO:0006082,GO:0006464,GO:0006629,GO:0006631,GO:0006633,GO:0006732,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009106,GO:0009107,GO:0009108,GO:0009249,GO:0009987,GO:0010467,GO:0016053,GO:0016415,GO:0016740,GO:0016746,GO:0016747,GO:0018065,GO:0018130,GO:0018193,GO:0018205,GO:0019538,GO:0019752,GO:0032787,GO:0036211,GO:0043170,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044272,GO:0044281,GO:0044283,GO:0046394,GO:0046483,GO:0051186,GO:0051188,GO:0051604,GO:0071704,GO:0072330,GO:1901360,GO:1901362,GO:1901564,GO:1901576"	"ko:K16869,ko:K18821"	"-"	"-"	"-"	"-"	"4.71e-196"
"SPY_RS05115"	"coaB"	"coaB"	"SPy_1221"	"phosphopantothenate--cysteine ligase"	"coaB"	"Phosphopantothenate-cysteine ligase"	"-"	"GO:0004632 - phosphopantothenate--cysteine ligase activity [Evidence IEA]"	"GO:0015937 - coenzyme A biosynthetic process [Evidence IEA]"	"-"	"ko:K21977"	"ko00770,map00770"	"M00120"	"R04231"	"RC00064,RC00090"	"1.05e-160"
"SPY_RS05120"	"coaC"	"coaC"	"SPy_1222"	"phosphopantothenoylcysteine decarboxylase"	"coaBC"	"Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine"	"-"	"GO:0004633 - phosphopantothenoylcysteine decarboxylase activity [Evidence IEA]"	"GO:0015937 - coenzyme A biosynthetic process [Evidence IEA]"	"-"	"ko:K01598,ko:K13038"	"ko00770,ko01100,map00770,map01100"	"M00120"	"R03269,R04231"	"RC00064,RC00090,RC00822"	"3.13e-122"
"SPY_RS05125"	"panT"	"-"	"SPy_1223"	"ECF transporter S component"	"panT"	"cog cog4684"	"-"	"GO:0022857 - transmembrane transporter activity [Evidence IEA]"	"-"	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"-"	"-"	"-"	"-"	"-"	"3.19e-119"
"SPY_RS05130"	"pgm"	"-"	"SPy_1224"	"phospho-sugar mutase"	"pgm"	"Phosphoglucomutase"	"-"	"-"	"-"	"-"	"ko:K01835"	"ko00010,ko00030,ko00052,ko00230,ko00500,ko00520,ko00521,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00052,map00230,map00500,map00520,map00521,map01100,map01110,map01120,map01130"	"M00549"	"R00959,R01057,R08639"	"RC00408"	"0.0"
"SPY_RS05135"	"yufQ"	"-"	"SPy_1225"	"ABC transporter permease"	"yufQ"	"Belongs to the binding-protein-dependent transport system permease family"	"-"	"-"	"-"	"-"	"ko:K02057"	"-"	"M00221"	"-"	"-"	"7.029999999999999e-219"
"SPY_RS05140"	"mglC"	"-"	"SPy_1226"	"ABC transporter permease"	"mglC"	"Belongs to the binding-protein-dependent transport system permease family"	"-"	"-"	"-"	"-"	"ko:K02057"	"-"	"M00221"	"-"	"-"	"2.4399999999999998e-244"
"SPY_RS05145"	"mglA"	"-"	"SPy_1227"	"ABC transporter ATP-binding protein"	"mglA"	"ABC transporter, ATP-binding protein"	"-"	"-"	"-"	"-"	"ko:K02056,ko:K06400"	"-"	"M00221"	"-"	"-"	"0.0"
"SPY_RS05150"	"tcsA"	"-"	"SPy_1228"	"BMP family protein"	"tcsA"	"ABC-type transport system, periplasmic component surface lipoprotein"	"-"	"-"	"-"	"-"	"ko:K02058,ko:K07335"	"-"	"M00221"	"-"	"-"	"5.49e-239"
"SPY_RS05155"	"cdd"	"-"	"SPy_1230"	"cytidine deaminase"	"cdd"	"This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis"	"-"	"GO:0004126 - cytidine deaminase activity [Evidence IEA] | GO:0008270 - zinc ion binding [Evidence IEA]"	"GO:0009972 - cytidine deamination [Evidence IEA]"	"-"	"ko:K01489"	"ko00240,ko00983,ko01100,map00240,map00983,map01100"	"-"	"R01878,R02485,R08221"	"RC00074,RC00514"	"5.02e-87"
"SPY_RS05160"	"rsmC"	"-"	"SPy_1232"	"class I SAM-dependent methyltransferase"	"rsmC"	"Methyltransferase small domain protein"	"-"	"-"	"-"	"-"	"ko:K00564"	"-"	"-"	"R07234"	"RC00003"	"3.81e-136"
"SPY_RS05165"	"coaA"	"coaA"	"SPy_1233"	"type I pantothenate kinase"	"coaA"	"Pantothenic acid kinase"	"-"	"GO:0004594 - pantothenate kinase activity [Evidence IEA]"	"GO:0015937 - coenzyme A biosynthetic process [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0004594,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0015936,GO:0015937,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046390,GO:0046483,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	"ko:K00867"	"ko00770,ko01100,map00770,map01100"	"M00120"	"R02971,R03018,R04391"	"RC00002,RC00017"	"7.29e-215"
"SPY_RS05170"	"rpsT"	"rpsT"	"SPy_1234"	"30S ribosomal protein S20"	"rpsT"	"Binds directly to 16S ribosomal RNA"	"GO:0000312 - plastid small ribosomal subunit [Evidence IEA] | GO:0022627 - cytosolic small ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"-"	"ko:K02968"	"ko03010,map03010"	"M00178"	"-"	"-"	"4.53e-41"
"SPY_RS05175"	"ciaH"	"-"	"SPy_1236"	"HAMP domain-containing sensor histidine kinase"	"ciaH"	"Histidine kinase"	"-"	"-"	"-"	"-"	"ko:K14982"	"ko02020,ko02024,map02020,map02024"	"M00521"	"-"	"-"	"2.26e-302"
"SPY_RS05180"	"ciaR"	"-"	"SPy_1237"	"response regulator transcription factor"	"ciaR"	"Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"	"-"	"-"	"-"	"-"	"ko:K14983"	"ko02020,ko02024,map02020,map02024"	"M00521"	"-"	"-"	"1.38e-153"
"SPY_RS05185"	"pepN"	"-"	"SPy_1239"	"M1 family metallopeptidase"	"pepN"	"aminopeptidase"	"-"	"-"	"-"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"ko:K01256"	"ko00480,ko01100,map00480,map01100"	"-"	"R00899,R04951"	"RC00096,RC00141"	"0.0"
"SPY_RS05190"	"phoU"	"phoU"	"SPy_1240"	"phosphate signaling complex protein PhoU"	"phoU"	"Plays a role in the regulation of phosphate uptake"	"-"	"GO:0003700 - DNA-binding transcription factor activity [Evidence IEA]"	"GO:0051049 - regulation of transport [Evidence IEA]"	"-"	"ko:K02039"	"-"	"-"	"-"	"-"	"5.869999999999999e-147"
"SPY_RS05195"	"pstB"	"pstB"	"SPy_1241"	"phosphate ABC transporter ATP-binding protein PstB"	"pstB1"	"Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system"	"GO:0009898 - cytoplasmic side of plasma membrane [Evidence IEA] | GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [Evidence IEA]"	"GO:0005524 - ATP binding [Evidence IEA] | GO:0015415 - ATPase-coupled phosphate ion transmembrane transporter activity [Evidence IEA]"	"-"	"-"	"ko:K02036"	"ko02010,map02010"	"M00222"	"-"	"-"	"2.91e-178"
"SPY_RS05200"	"pstB"	"pstB"	"SPy_1242"	"phosphate ABC transporter ATP-binding protein PstB"	"pstB2"	"Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system"	"GO:0009898 - cytoplasmic side of plasma membrane [Evidence IEA] | GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [Evidence IEA]"	"GO:0005524 - ATP binding [Evidence IEA] | GO:0015415 - ATPase-coupled phosphate ion transmembrane transporter activity [Evidence IEA]"	"-"	"-"	"ko:K02036"	"ko02010,map02010"	"M00222"	"-"	"-"	"9.1e-194"
"SPY_RS05205"	"pstA"	"pstA"	"SPy_1243"	"phosphate ABC transporter permease PstA"	"pstA"	"phosphate transport system permease"	"GO:0005886 - plasma membrane [Evidence IEA] | GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [Evidence IEA]"	"GO:0015415 - ATPase-coupled phosphate ion transmembrane transporter activity [Evidence IEA]"	"-"	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"ko:K02038"	"ko02010,map02010"	"M00222"	"-"	"-"	"1.9e-200"
"SPY_RS05210"	"pstC"	"pstC"	"SPy_1244"	"phosphate ABC transporter permease subunit PstC"	"pstC"	"probably responsible for the translocation of the substrate across the membrane"	"GO:0005886 - plasma membrane [Evidence IEA] | GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [Evidence IEA]"	"GO:0015415 - ATPase-coupled phosphate ion transmembrane transporter activity [Evidence IEA]"	"-"	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"ko:K02037"	"ko02010,map02010"	"M00222"	"-"	"-"	"7.43e-206"
"SPY_RS05215"	"pstS"	"-"	"SPy_1245"	"phosphate ABC transporter substrate-binding protein PstS family protein"	"pstS"	"phosphate"	"-"	"GO:0042301 - phosphate ion binding [Evidence IEA]"	"-"	"GO:0003674,GO:0005488,GO:0006810,GO:0006811,GO:0006817,GO:0006820,GO:0008150,GO:0015698,GO:0042301,GO:0043167,GO:0043168,GO:0051179,GO:0051234"	"ko:K02040"	"ko02010,ko02020,ko05152,map02010,map02020,map05152"	"M00222"	"-"	"-"	"1.4999999999999999e-198"
"SPY_RS05220"	"rsmF"	"-"	"SPy_1246"	"RsmF rRNA methyltransferase first C-terminal domain-containing protein"	"rsmF"	"NOL1 NOP2 sun family protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS05225"	"suhB"	"-"	"SPy_1247"	"inositol monophosphatase family protein"	"suhB"	"Belongs to the inositol monophosphatase superfamily"	"-"	"-"	"-"	"GO:0003674,GO:0003824,GO:0005975,GO:0006020,GO:0006066,GO:0006793,GO:0006796,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008934,GO:0009056,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019637,GO:0019751,GO:0023052,GO:0042578,GO:0043647,GO:0044237,GO:0044238,GO:0044262,GO:0044281,GO:0044282,GO:0046164,GO:0046174,GO:0046434,GO:0046838,GO:0046855,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0052745,GO:0052834,GO:0065007,GO:0071545,GO:0071704,GO:1901575,GO:1901615,GO:1901616"	"ko:K01092"	"ko00521,ko00562,ko01100,ko04070,map00521,map00562,map01100,map04070"	"M00131"	"R01185,R01186,R01187"	"RC00078"	"3.84e-188"
"SPY_RS05230"	"yktA"	"-"	"SPy_1248"	"UPF0223 family protein"	"yktA"	"Belongs to the UPF0223 family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"2.09e-46"
"SPY_RS05235"	"spxA"	"-"	"SPy_1249"	"Spx/MgsR family RNA polymerase-binding regulatory protein"	"spxA"	"Interferes with activator-stimulated transcription by interaction with the RNA polymerase alpha-CTD. May function to globally reduce transcription of genes involved in growth- and development-promoting processes and to increase transcription of genes involved in thiol homeostasis, during periods of extreme stress"	"-"	"-"	"-"	"-"	"ko:K16509"	"-"	"-"	"-"	"-"	"1.26e-87"
"SPY_RS05240"	"ribF"	"-"	"SPy_1250"	"bifunctional riboflavin kinase/FAD synthetase"	"ribF"	"Belongs to the ribF family"	"-"	"GO:0003919 - FMN adenylyltransferase activity [Evidence IEA]"	"-"	"-"	"ko:K11753"	"ko00740,ko01100,ko01110,map00740,map01100,map01110"	"M00125"	"R00161,R00549"	"RC00002,RC00017"	"1.74e-224"
"SPY_RS05245"	"truB"	"truB"	"SPy_1251"	"tRNA pseudouridine(55) synthase TruB"	"truB"	"Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs"	"-"	"GO:0004730 - pseudouridylate synthase activity [Evidence IEA]"	"GO:0006400 - tRNA modification [Evidence IEA]"	"GO:0001522,GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016556,GO:0016853,GO:0016866,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1990481"	"ko:K03177,ko:K03483"	"-"	"-"	"-"	"-"	"1.91e-204"
